1,0,0,0;2,79,50,30;18,-65,-14,18;16,16,-18,-63;32,18,47,1
1,0,0,0;2,80,48,31;18,-62,-18,16;15,17,-18,-62;32,14,46,-1
1,0,0,0;2,82,49,32;18,-65,-15,17;16,14,-15,-65;32,16,49,2
1,0,0,0;2,82,50,32;18,-66,-17,16;15,14,-16,-62;32,15,46,-1
1,0,0,0;25,-40,-46,-27;-24,51,-11,-21;-28,-37,18,28;39,37,-27,30
1,0,0,0;3,-2,-3,3;0,-3,1,0;3,-3,-1,-3;-2,-2,-1,-2
1,0,0,0;3,-2,4,-5;5,5,-2,-4;-3,-2,2,4;1,0,0,-4
1,0,0,0;3,-3,5,-2;-3,1,2,0;1,4,-5,1;4,0,-2,5
1,0,0,0;3,0,-3,0;4,5,0,0;5,0,0,6;1,0,-1,0
1,0,0,0;3,0,-3,1;1,-1,3,1;-3,-1,-3,-1;2,-3,-1,-3
1,0,0,0;3,0,-5,0;2,0,0,0;1,0,-3,0;3,0,-1,0
1,0,0,0;3,0,0,-1;-1,3,-1,2;-2,0,0,1;3,2,-3,2
1,0,0,0;3,0,0,-1;5,0,-6,0;2,0,0,5;5,0,0,0
1,0,0,0;3,0,0,1;1,0,-6,0;6,0,0,6;5,0,0,-3
1,0,0,0;3,0,0,2;4,0,6,0;1,0,0,-4;2,0,-3,0
1,0,0,0;3,0,3,-1;3,-3,-2,1;-3,1,-2,1;-1,-3,2,3
1,0,0,0;3,3,1,3;3,3,-2,0;0,2,-1,0;3,-2,-1,-2
1,0,0,0;3,5,0,0;1,0,0,-4;1,3,0,0;5,0,0,0
1,0,0,0;31,-25,43,-22;42,52,-38,-45;44,0,-22,31;-29,-55,57,43
1,0,0,0;35,58,42,5;23,-12,27,-60;24,3,-9,-26;3,13,48,20
1,0,0,0;4,-3,-4,-5;-1,5,0,-2;4,0,-3,-3;4,3,-4,2
1,0,0,0;4,-6,0,0;1,2,0,0;3,0,0,-1;4,0,0,6
1,0,0,0;4,0,-1,0;2,0,0,5;2,1,0,0;2,0,0,-4
1,0,0,0;4,0,0,2;1,0,0,-6;4,2,0,0;1,0,0,0
1,0,0,0;4,0,4,0;2,0,0,1;5,0,0,0;1,0,-6,0
1,0,0,0;4,1,1,4;0,-1,4,-4;-2,-4,2,-2;3,1,-5,2
1,0,0,0;4,2,5,0;2,1,-4,-4;-3,4,-4,-3;5,5,-3,-3
1,0,0,0;4,3,-5,-1;0,-2,0,-1;5,2,-4,3;1,-2,3,0
1,0,0,0;41,-31,-31,23;19,39,-45,28;-41,6,-5,-20;-1,-26,28,-37
1,0,0,0;41,54,16,-2;-16,17,48,2;-1,-56,-36,-42;60,0,26,-57
1,0,0,0;5,-2,0,0;6,0,0,4;6,0,0,2;5,6,0,0
1,0,0,0;5,-5,5,-3;1,2,4,-4;2,0,1,4;4,1,-1,2
1,0,0,0;5,0,0,-5;5,0,0,-3;2,0,4,0;3,-4,0,0
1,0,0,0;5,0,0,6;2,0,0,3;1,-2,0,0;1,0,5,0
1,0,0,0;5,0,1,0;3,0,0,6;1,-5,0,0;5,4,0,0
1,0,0,0;5,0,5,0;3,0,0,6;4,0,0,-5;5,0,0,-4
