census n=4 ensemble=mixed shard=a0  (0 already recorded) -> census_n4_mixed_a0.jsonl
   15750 recorded, 17 unevaluable, 586.8/min
   15800 recorded, 17 unevaluable, 587.1/min
   15850 recorded, 17 unevaluable, 586.7/min
   15900 recorded, 17 unevaluable, 586.6/min
   15950 recorded, 18 unevaluable, 586.8/min
   16000 recorded, 18 unevaluable, 586.8/min
   16050 recorded, 18 unevaluable, 586.9/min
   16100 recorded, 18 unevaluable, 587.1/min
   16150 recorded, 18 unevaluable, 587.1/min
   16200 recorded, 18 unevaluable, 587.2/min
   16250 recorded, 18 unevaluable, 587.4/min
   16300 recorded, 18 unevaluable, 587.6/min
   16350 recorded, 18 unevaluable, 587.6/min
   16400 recorded, 18 unevaluable, 587.7/min
   16450 recorded, 18 unevaluable, 587.9/min
   16500 recorded, 18 unevaluable, 588.1/min
   16550 recorded, 18 unevaluable, 588.4/min
   16600 recorded, 18 unevaluable, 588.7/min
   16650 recorded, 18 unevaluable, 588.8/min
   16700 recorded, 18 unevaluable, 588.9/min
   16750 recorded, 18 unevaluable, 589.1/min
   16800 recorded, 18 unevaluable, 588.9/min
   16850 recorded, 18 unevaluable, 589.0/min
   16900 recorded, 18 unevaluable, 588.3/min
   16950 recorded, 18 unevaluable, 586.9/min
   17000 recorded, 18 unevaluable, 586.7/min
   17050 recorded, 18 unevaluable, 586.7/min
   17100 recorded, 18 unevaluable, 583.6/min
   17150 recorded, 18 unevaluable, 581.9/min
   17200 recorded, 18 unevaluable, 581.1/min
   17250 recorded, 18 unevaluable, 580.6/min
   17300 recorded, 18 unevaluable, 580.3/min
   17350 recorded, 18 unevaluable, 579.8/min
   17400 recorded, 18 unevaluable, 579.4/min
   17450 recorded, 18 unevaluable, 578.7/min
   17500 recorded, 18 unevaluable, 578.7/min
   17550 recorded, 18 unevaluable, 578.6/min
   17600 recorded, 18 unevaluable, 578.8/min
   17650 recorded, 18 unevaluable, 578.8/min
   17700 recorded, 18 unevaluable, 578.8/min
   17750 recorded, 18 unevaluable, 578.6/min
   17800 recorded, 18 unevaluable, 578.7/min
   17850 recorded, 18 unevaluable, 578.2/min
   17900 recorded, 18 unevaluable, 578.1/min
   17950 recorded, 19 unevaluable, 578.0/min
   18000 recorded, 19 unevaluable, 576.5/min
   18050 recorded, 19 unevaluable, 575.6/min
   18100 recorded, 19 unevaluable, 575.0/min
   18150 recorded, 19 unevaluable, 574.9/min
   18200 recorded, 19 unevaluable, 574.7/min
   18250 recorded, 19 unevaluable, 574.5/min
   18300 recorded, 22 unevaluable, 574.1/min
   18350 recorded, 22 unevaluable, 573.7/min
   18400 recorded, 22 unevaluable, 573.1/min
   18450 recorded, 22 unevaluable, 572.9/min
   18500 recorded, 22 unevaluable, 572.5/min
   18550 recorded, 22 unevaluable, 572.5/min
   18600 recorded, 22 unevaluable, 572.0/min
   18650 recorded, 22 unevaluable, 571.9/min
   18700 recorded, 22 unevaluable, 571.1/min
   18750 recorded, 22 unevaluable, 570.7/min
   18800 recorded, 22 unevaluable, 570.2/min
   18850 recorded, 22 unevaluable, 569.9/min
   18900 recorded, 22 unevaluable, 569.6/min
   18950 recorded, 22 unevaluable, 569.3/min
   19000 recorded, 22 unevaluable, 569.2/min
   19050 recorded, 22 unevaluable, 568.7/min
   19100 recorded, 22 unevaluable, 568.4/min
   19150 recorded, 23 unevaluable, 568.0/min
   19200 recorded, 23 unevaluable, 567.7/min
   19250 recorded, 23 unevaluable, 567.5/min
   19300 recorded, 23 unevaluable, 567.0/min
   19350 recorded, 24 unevaluable, 566.8/min
   19400 recorded, 24 unevaluable, 566.2/min
   19450 recorded, 24 unevaluable, 566.0/min
   19500 recorded, 24 unevaluable, 565.7/min
   19550 recorded, 24 unevaluable, 565.4/min
   19600 recorded, 24 unevaluable, 564.9/min
   19650 recorded, 24 unevaluable, 564.5/min
   19700 recorded, 24 unevaluable, 563.6/min
   19750 recorded, 24 unevaluable, 562.9/min
   19800 recorded, 24 unevaluable, 562.7/min
   19850 recorded, 24 unevaluable, 562.3/min
   19900 recorded, 24 unevaluable, 562.2/min
   19950 recorded, 24 unevaluable, 561.9/min
   20000 recorded, 24 unevaluable, 561.5/min
   20050 recorded, 24 unevaluable, 561.3/min
   20100 recorded, 24 unevaluable, 560.8/min
   20150 recorded, 24 unevaluable, 560.6/min
   20200 recorded, 25 unevaluable, 560.0/min
   20250 recorded, 25 unevaluable, 559.8/min
   20300 recorded, 25 unevaluable, 559.5/min
   20350 recorded, 25 unevaluable, 559.1/min
   20400 recorded, 25 unevaluable, 558.7/min
   20450 recorded, 25 unevaluable, 558.5/min
   20500 recorded, 25 unevaluable, 558.4/min
   20550 recorded, 25 unevaluable, 558.2/min
   20600 recorded, 25 unevaluable, 558.2/min
   20650 recorded, 25 unevaluable, 557.9/min
   20700 recorded, 25 unevaluable, 557.8/min
   20750 recorded, 25 unevaluable, 557.5/min
   20800 recorded, 25 unevaluable, 557.2/min
   20850 recorded, 26 unevaluable, 557.0/min
   20900 recorded, 26 unevaluable, 556.4/min
   20950 recorded, 26 unevaluable, 555.8/min
   21000 recorded, 26 unevaluable, 555.4/min
   21050 recorded, 26 unevaluable, 555.2/min
   21100 recorded, 26 unevaluable, 554.7/min
   21150 recorded, 26 unevaluable, 554.1/min
   21200 recorded, 26 unevaluable, 553.4/min
   21250 recorded, 26 unevaluable, 553.0/min
   21300 recorded, 26 unevaluable, 552.4/min
   21350 recorded, 26 unevaluable, 552.0/min
   21400 recorded, 26 unevaluable, 551.5/min
   21450 recorded, 26 unevaluable, 551.2/min
   21500 recorded, 26 unevaluable, 550.8/min
   21550 recorded, 26 unevaluable, 550.2/min
   21600 recorded, 26 unevaluable, 549.8/min
   21650 recorded, 26 unevaluable, 549.5/min
   21700 recorded, 27 unevaluable, 548.7/min
   21750 recorded, 27 unevaluable, 548.3/min
   21800 recorded, 28 unevaluable, 547.8/min
   21850 recorded, 28 unevaluable, 547.5/min
   21900 recorded, 28 unevaluable, 546.9/min
   21950 recorded, 28 unevaluable, 546.3/min
   22000 recorded, 28 unevaluable, 545.8/min
   22050 recorded, 28 unevaluable, 545.3/min
   22100 recorded, 28 unevaluable, 544.4/min
   22150 recorded, 28 unevaluable, 543.7/min
   22200 recorded, 28 unevaluable, 543.1/min
   22250 recorded, 28 unevaluable, 542.5/min
   22300 recorded, 28 unevaluable, 541.8/min
   22350 recorded, 28 unevaluable, 541.4/min
   22400 recorded, 28 unevaluable, 541.0/min
   22450 recorded, 28 unevaluable, 540.4/min
   22500 recorded, 28 unevaluable, 539.9/min
   22550 recorded, 28 unevaluable, 539.3/min
   22600 recorded, 28 unevaluable, 538.8/min
   22650 recorded, 28 unevaluable, 538.3/min
   22700 recorded, 28 unevaluable, 537.7/min
   22750 recorded, 28 unevaluable, 537.0/min
