census n=4 ensemble=project shard=a0  (19034 already recorded) -> census_n4_project_a0.jsonl
   23250 recorded, 1 unevaluable, 482.2/min
   23300 recorded, 1 unevaluable, 482.6/min
   23350 recorded, 1 unevaluable, 482.9/min
   23400 recorded, 1 unevaluable, 483.3/min
   23450 recorded, 1 unevaluable, 483.8/min
   23500 recorded, 1 unevaluable, 484.2/min
   23550 recorded, 1 unevaluable, 484.6/min
   23600 recorded, 1 unevaluable, 485.1/min
   23650 recorded, 1 unevaluable, 485.5/min
   23700 recorded, 1 unevaluable, 485.9/min
   23750 recorded, 1 unevaluable, 486.4/min
   23800 recorded, 1 unevaluable, 486.8/min
   23850 recorded, 1 unevaluable, 487.2/min
   23900 recorded, 1 unevaluable, 487.7/min
   23950 recorded, 1 unevaluable, 488.1/min
   24000 recorded, 1 unevaluable, 488.6/min
   24050 recorded, 1 unevaluable, 489.1/min
   24100 recorded, 1 unevaluable, 489.5/min
   24150 recorded, 1 unevaluable, 489.9/min
   24200 recorded, 1 unevaluable, 490.4/min
   24250 recorded, 1 unevaluable, 490.8/min
   24300 recorded, 1 unevaluable, 491.3/min
   24350 recorded, 1 unevaluable, 491.8/min
   24400 recorded, 1 unevaluable, 492.2/min
   24450 recorded, 1 unevaluable, 492.7/min
   24500 recorded, 1 unevaluable, 493.1/min
   24550 recorded, 1 unevaluable, 493.6/min
   24600 recorded, 1 unevaluable, 494.0/min
   24650 recorded, 1 unevaluable, 494.5/min
   24700 recorded, 1 unevaluable, 494.9/min
   24750 recorded, 1 unevaluable, 495.4/min
   24800 recorded, 1 unevaluable, 495.8/min
   24850 recorded, 1 unevaluable, 496.3/min
   24900 recorded, 1 unevaluable, 496.7/min
   24950 recorded, 1 unevaluable, 497.2/min
   25000 recorded, 1 unevaluable, 497.6/min
   25050 recorded, 1 unevaluable, 498.1/min
   25100 recorded, 1 unevaluable, 498.5/min
   25150 recorded, 1 unevaluable, 498.9/min
   25200 recorded, 1 unevaluable, 499.4/min
   25250 recorded, 1 unevaluable, 499.8/min
   25300 recorded, 1 unevaluable, 500.3/min
   25350 recorded, 1 unevaluable, 500.8/min
   25400 recorded, 1 unevaluable, 501.2/min
   25450 recorded, 1 unevaluable, 501.7/min
   25500 recorded, 1 unevaluable, 502.1/min
   25550 recorded, 1 unevaluable, 502.5/min
   25600 recorded, 1 unevaluable, 502.9/min
   25650 recorded, 1 unevaluable, 503.4/min
   25700 recorded, 1 unevaluable, 503.8/min
   25750 recorded, 1 unevaluable, 504.3/min
   25800 recorded, 1 unevaluable, 504.7/min
   25850 recorded, 1 unevaluable, 505.2/min
   25900 recorded, 1 unevaluable, 505.6/min
   25950 recorded, 1 unevaluable, 506.1/min
   26000 recorded, 1 unevaluable, 506.5/min
   26050 recorded, 1 unevaluable, 506.9/min
   26100 recorded, 1 unevaluable, 507.4/min
   26150 recorded, 1 unevaluable, 507.8/min
   26200 recorded, 1 unevaluable, 508.2/min
   26250 recorded, 1 unevaluable, 508.6/min
   26300 recorded, 1 unevaluable, 509.0/min
   26350 recorded, 1 unevaluable, 509.4/min
   26400 recorded, 1 unevaluable, 509.9/min
   26450 recorded, 1 unevaluable, 510.3/min
   26500 recorded, 1 unevaluable, 510.7/min
   26550 recorded, 1 unevaluable, 511.1/min
   26600 recorded, 1 unevaluable, 511.6/min
   26650 recorded, 1 unevaluable, 512.0/min
   26700 recorded, 1 unevaluable, 512.4/min
   26750 recorded, 1 unevaluable, 512.7/min
   26800 recorded, 1 unevaluable, 512.8/min
   26850 recorded, 1 unevaluable, 513.2/min
   26900 recorded, 1 unevaluable, 513.6/min
   26950 recorded, 1 unevaluable, 513.9/min
   27000 recorded, 1 unevaluable, 514.4/min
   27050 recorded, 1 unevaluable, 514.8/min
   27100 recorded, 1 unevaluable, 515.2/min
   27150 recorded, 1 unevaluable, 515.6/min
   27200 recorded, 1 unevaluable, 516.0/min
   27250 recorded, 1 unevaluable, 516.4/min
   27300 recorded, 1 unevaluable, 516.8/min
   27350 recorded, 1 unevaluable, 517.2/min
   27400 recorded, 1 unevaluable, 517.6/min
   27450 recorded, 1 unevaluable, 518.0/min
   27500 recorded, 1 unevaluable, 518.3/min
   27550 recorded, 1 unevaluable, 518.7/min
   27600 recorded, 1 unevaluable, 519.1/min
   27650 recorded, 1 unevaluable, 519.5/min
   27700 recorded, 1 unevaluable, 519.9/min
   27750 recorded, 1 unevaluable, 520.3/min
   27800 recorded, 1 unevaluable, 520.6/min
   27850 recorded, 1 unevaluable, 521.1/min
   27900 recorded, 1 unevaluable, 521.5/min
   27950 recorded, 1 unevaluable, 521.8/min
   28000 recorded, 1 unevaluable, 522.3/min
   28050 recorded, 1 unevaluable, 522.7/min
   28100 recorded, 1 unevaluable, 523.1/min
   28150 recorded, 1 unevaluable, 523.5/min
   28200 recorded, 1 unevaluable, 523.9/min
   28250 recorded, 1 unevaluable, 524.3/min
   28300 recorded, 1 unevaluable, 524.7/min
   28350 recorded, 1 unevaluable, 525.1/min
   28400 recorded, 1 unevaluable, 525.5/min
   28450 recorded, 1 unevaluable, 525.9/min
   28500 recorded, 1 unevaluable, 526.3/min
   28550 recorded, 1 unevaluable, 526.6/min
   28600 recorded, 1 unevaluable, 527.0/min
   28650 recorded, 1 unevaluable, 527.4/min
   28700 recorded, 1 unevaluable, 527.8/min
   28750 recorded, 1 unevaluable, 528.2/min
