census n=4 ensemble=axis shard=a0  (23185 already recorded) -> census_n4_axis_a0.jsonl
   21900 recorded, 0 unevaluable, 594.3/min
   21950 recorded, 0 unevaluable, 594.5/min
   22000 recorded, 0 unevaluable, 594.6/min
   22050 recorded, 0 unevaluable, 594.6/min
   22100 recorded, 0 unevaluable, 594.6/min
   22150 recorded, 0 unevaluable, 594.6/min
   22200 recorded, 0 unevaluable, 594.6/min
   22250 recorded, 0 unevaluable, 594.6/min
   22300 recorded, 0 unevaluable, 594.7/min
   22350 recorded, 0 unevaluable, 594.6/min
   22400 recorded, 0 unevaluable, 594.6/min
   22450 recorded, 0 unevaluable, 594.5/min
   22500 recorded, 0 unevaluable, 594.5/min
   22550 recorded, 0 unevaluable, 594.4/min
   22600 recorded, 0 unevaluable, 594.4/min
   22650 recorded, 0 unevaluable, 594.3/min
   22700 recorded, 0 unevaluable, 594.3/min
   22750 recorded, 0 unevaluable, 594.2/min
   22800 recorded, 0 unevaluable, 594.1/min
   22850 recorded, 0 unevaluable, 593.9/min
   22900 recorded, 0 unevaluable, 594.0/min
   22950 recorded, 0 unevaluable, 594.0/min
   23000 recorded, 0 unevaluable, 594.1/min
   23050 recorded, 0 unevaluable, 594.0/min
   23100 recorded, 0 unevaluable, 593.8/min
   23150 recorded, 0 unevaluable, 593.8/min
   23200 recorded, 0 unevaluable, 593.8/min
   23250 recorded, 0 unevaluable, 593.8/min
   23300 recorded, 0 unevaluable, 593.7/min
   23350 recorded, 0 unevaluable, 593.7/min
   23400 recorded, 0 unevaluable, 593.6/min
   23450 recorded, 0 unevaluable, 593.5/min
   23500 recorded, 0 unevaluable, 593.5/min
   23550 recorded, 0 unevaluable, 593.4/min
   23600 recorded, 0 unevaluable, 593.2/min
   23650 recorded, 0 unevaluable, 593.1/min
   23700 recorded, 0 unevaluable, 592.9/min
   23750 recorded, 0 unevaluable, 592.9/min
   23800 recorded, 0 unevaluable, 592.8/min
   23850 recorded, 0 unevaluable, 592.7/min
   23900 recorded, 0 unevaluable, 592.6/min
   23950 recorded, 0 unevaluable, 592.4/min
   24000 recorded, 0 unevaluable, 592.5/min
   24050 recorded, 0 unevaluable, 592.3/min
   24100 recorded, 0 unevaluable, 592.3/min
   24150 recorded, 0 unevaluable, 592.2/min
   24200 recorded, 0 unevaluable, 592.1/min
   24250 recorded, 0 unevaluable, 591.8/min
   24300 recorded, 0 unevaluable, 591.6/min
   24350 recorded, 0 unevaluable, 591.5/min
   24400 recorded, 0 unevaluable, 591.2/min
   24450 recorded, 0 unevaluable, 591.1/min
   24500 recorded, 0 unevaluable, 591.0/min
   24550 recorded, 0 unevaluable, 590.8/min
   24600 recorded, 0 unevaluable, 590.8/min
   24650 recorded, 0 unevaluable, 590.7/min
   24700 recorded, 0 unevaluable, 590.7/min
   24750 recorded, 0 unevaluable, 590.6/min
   24800 recorded, 0 unevaluable, 590.7/min
   24850 recorded, 0 unevaluable, 590.5/min
   24900 recorded, 0 unevaluable, 590.4/min
   24950 recorded, 0 unevaluable, 590.3/min
   25000 recorded, 0 unevaluable, 590.2/min
   25050 recorded, 0 unevaluable, 590.1/min
   25100 recorded, 0 unevaluable, 590.2/min
   25150 recorded, 0 unevaluable, 590.2/min
   25200 recorded, 0 unevaluable, 590.2/min
   25250 recorded, 0 unevaluable, 590.2/min
   25300 recorded, 0 unevaluable, 590.1/min
   25350 recorded, 0 unevaluable, 590.1/min
   25400 recorded, 0 unevaluable, 590.2/min
   25450 recorded, 0 unevaluable, 590.1/min
   25500 recorded, 0 unevaluable, 590.0/min
   25550 recorded, 0 unevaluable, 589.7/min
   25600 recorded, 0 unevaluable, 589.5/min
   25650 recorded, 0 unevaluable, 589.5/min
   25700 recorded, 0 unevaluable, 589.5/min
   25750 recorded, 0 unevaluable, 588.9/min
   25800 recorded, 0 unevaluable, 588.5/min
   25850 recorded, 0 unevaluable, 587.9/min
   25900 recorded, 0 unevaluable, 587.5/min
   25950 recorded, 0 unevaluable, 587.1/min
   26000 recorded, 0 unevaluable, 586.7/min
   26050 recorded, 0 unevaluable, 586.5/min
   26100 recorded, 0 unevaluable, 586.3/min
   26150 recorded, 0 unevaluable, 586.1/min
   26200 recorded, 0 unevaluable, 585.8/min
   26250 recorded, 0 unevaluable, 585.6/min
   26300 recorded, 0 unevaluable, 585.4/min
   26350 recorded, 0 unevaluable, 585.4/min
   26400 recorded, 0 unevaluable, 585.4/min
   26450 recorded, 0 unevaluable, 585.0/min
   26500 recorded, 0 unevaluable, 585.0/min
   26550 recorded, 0 unevaluable, 584.9/min
   26600 recorded, 0 unevaluable, 584.8/min
   26650 recorded, 0 unevaluable, 584.8/min
   26700 recorded, 0 unevaluable, 584.7/min
   26750 recorded, 0 unevaluable, 584.7/min
   26800 recorded, 0 unevaluable, 584.6/min
   26850 recorded, 0 unevaluable, 584.5/min
   26900 recorded, 0 unevaluable, 584.4/min
   26950 recorded, 0 unevaluable, 584.4/min
   27000 recorded, 0 unevaluable, 584.3/min
   27050 recorded, 0 unevaluable, 584.2/min
   27100 recorded, 0 unevaluable, 584.2/min
   27150 recorded, 0 unevaluable, 584.2/min
   27200 recorded, 0 unevaluable, 584.2/min
   27250 recorded, 0 unevaluable, 584.3/min
   27300 recorded, 0 unevaluable, 584.3/min
   27350 recorded, 0 unevaluable, 584.1/min
   27400 recorded, 0 unevaluable, 584.0/min
   27450 recorded, 0 unevaluable, 584.0/min
   27500 recorded, 0 unevaluable, 583.9/min
   27550 recorded, 0 unevaluable, 583.8/min
   27600 recorded, 0 unevaluable, 583.7/min
   27650 recorded, 0 unevaluable, 583.7/min
   27700 recorded, 0 unevaluable, 583.6/min
   27750 recorded, 0 unevaluable, 583.6/min
   27800 recorded, 0 unevaluable, 583.5/min
   27850 recorded, 0 unevaluable, 583.4/min
   27900 recorded, 0 unevaluable, 582.4/min
   27950 recorded, 0 unevaluable, 582.4/min
   28000 recorded, 0 unevaluable, 582.8/min
   28050 recorded, 0 unevaluable, 583.0/min
   28100 recorded, 0 unevaluable, 583.4/min
   28150 recorded, 0 unevaluable, 583.7/min
   28200 recorded, 0 unevaluable, 584.1/min
   28250 recorded, 0 unevaluable, 584.5/min
   28300 recorded, 0 unevaluable, 584.9/min
   28350 recorded, 0 unevaluable, 585.3/min
   28400 recorded, 0 unevaluable, 585.7/min
   28450 recorded, 0 unevaluable, 586.1/min
   28500 recorded, 0 unevaluable, 586.6/min
   28550 recorded, 0 unevaluable, 587.0/min
   28600 recorded, 0 unevaluable, 587.4/min
   28650 recorded, 0 unevaluable, 587.8/min
   28700 recorded, 0 unevaluable, 588.3/min
